,Postal_Code,Population
1616,5760,1062
1617,5761,2695
1618,5762,1515
1619,5763,6331
1620,5764,3486
1621,5765,2028
1622,5766,334
1623,5767,1841
1624,5769,3234
1625,5770,1190
1626,5772,1626
1627,5773,2557
1628,5774,2974
1629,5775,1298
1630,5776,1549
1631,5777,4220
1632,5778,1107
1633,5819,24566
1634,5820,1822
1635,5821,3273
1636,5822,3699
1637,5824,3137
1638,5825,480
1639,5826,2527
1640,5827,698
1641,5828,5111
1642,5829,3204
1643,5830,808
1644,5832,1524
1645,5833,734
1646,5836,1274
1647,5837,261
1648,5839,514
1649,5841,713
1650,5842,1402
1651,5843,6523
1652,5845,1353
1653,5846,2742
1654,5847,2293
1655,5850,487
1656,5851,16621
1657,5853,728
1658,5855,11863
1659,5857,1721
1660,5858,792
1661,5859,4137
1662,5860,5606
1663,5862,915
1664,5866,1171
1665,5867,1551
1666,5868,948
1667,5871,2015
1668,5872,947
1669,5873,845
1670,5874,853
1671,5875,505
1672,5901,40
1673,5902,483
1674,5903,2352
1675,5904,694
1676,5905,1903
1677,5906,2422
1678,5907,439
1679,6001,41589
1680,6002,24746
1681,6010,91138
1682,6013,16410
1683,6016,17392
1684,6018,5815
1685,6019,22386
1686,6020,0
1687,6021,653
1688,6022,182
1689,6023,1496
1690,6024,1099
1691,6026,13404
1692,6027,3948
1693,6029,26423
1694,6031,2826
1695,6032,48898
1696,6033,45035
1697,6035,8725
1698,6037,39833
1699,6039,4957
1700,6040,76358
1701,6042,28219
1702,6043,7925
1703,6051,78741
1704,6052,12790
